feature,importance,selected,category
hvol_20,589,True,volatility
macd_signal,578,True,momentum
hvol_10,575,True,volatility
price_sma200_ratio,558,True,overlap
bb_width,501,True,overlap
ad_line,484,True,volume
aroon_osc,465,True,momentum
adx_14,427,True,momentum
obv,413,True,volume
pvt,408,True,volume
atr_14,382,True,volatility
price_sma50_ratio,370,True,overlap
macd_hist,363,True,momentum
cmo_14,304,True,momentum
macd,290,True,momentum
tr_norm,263,True,volatility
willr_14,260,True,momentum
lower_shadow,247,True,price_transform
mom_10,239,True,momentum
vol_ratio,234,True,volume
ret_5d,233,True,price_transform
rsi_14,231,True,momentum
roc_10,225,True,momentum
price_sma5_ratio,216,True,overlap
sma_50,211,True,overlap
ret_3d,210,False,price_transform
bb_pct,210,False,overlap
body_ratio,205,False,price_transform
gap,204,False,price_transform
force_idx,187,False,volume
upper_shadow,182,False,price_transform
sma_5,155,False,overlap
ret_1d,154,False,price_transform
price_sma20_ratio,152,False,overlap
sma_20,145,False,overlap
stoch_rsi,140,False,momentum
ema_26,104,False,overlap
ret_10d,89,False,price_transform
sma_10,87,False,overlap
dema_12,66,False,overlap
wma_10,61,False,overlap
ema_12,58,False,overlap
